,AGTP_co2
953,3.951535535932912e-16
954,3.951220589346242e-16
955,3.9509066607162406e-16
956,3.950593746915855e-16
957,3.9502818448267706e-16
958,3.949970951339393e-16
959,3.9496610633528207e-16
960,3.949352177774819e-16
961,3.9490442915218013e-16
962,3.948737401518804e-16
963,3.948431504699461e-16
964,3.9481265980059767e-16
965,3.947822678389115e-16
966,3.947519742808158e-16
967,3.9472177882309014e-16
968,3.9469168116336153e-16
969,3.9466168100010295e-16
970,3.9463177803263094e-16
971,3.94601971961103e-16
972,3.945722624865157e-16
973,3.945426493107017e-16
974,3.9451313213632847e-16
975,3.944837106668949e-16
976,3.944543846067298e-16
977,3.9442515366098934e-16
978,3.943960175356547e-16
979,3.943669759375302e-16
980,3.943380285742402e-16
981,3.9430917515422777e-16
982,3.942804153867522e-16
983,3.9425174898188623e-16
984,3.942231756505145e-16
985,3.9419469510433104e-16
986,3.941663070558368e-16
987,3.9413801121833783e-16
988,3.9410980730594317e-16
989,3.9408169503356187e-16
990,3.940536741169018e-16
991,3.940257442724668e-16
992,3.939979052175545e-16
993,3.939701566702546e-16
994,3.9394249834944625e-16
995,3.9391492997479617e-16
996,3.938874512667562e-16
997,3.938600619465614e-16
998,3.938327617362277e-16
999,3.9380555035855024e-16
1000,3.937784275371004e-16
