,AGWP_co2
782,7.40480819590878e-16
783,7.402465702836383e-16
784,7.400127642570307e-16
785,7.397794003494346e-16
786,7.395464774023921e-16
787,7.393139942606007e-16
788,7.390819497719041e-16
789,7.388503427872835e-16
790,7.38619172160849e-16
791,7.383884367498308e-16
792,7.381581354145715e-16
793,7.379282670185169e-16
794,7.376988304282071e-16
795,7.374698245132688e-16
796,7.372412481464067e-16
797,7.37013100203395e-16
798,7.367853795630683e-16
799,7.365580851073144e-16
800,7.36331215721065e-16
801,7.361047702922881e-16
802,7.358787477119787e-16
803,7.356531468741516e-16
804,7.354279666758323e-16
805,7.352032060170495e-16
806,7.349788638008257e-16
807,7.347549389331708e-16
808,7.345314303230716e-16
809,7.343083368824863e-16
810,7.340856575263337e-16
811,7.33863391172487e-16
812,7.336415367417652e-16
813,7.334200931579245e-16
814,7.331990593476511e-16
815,7.329784342405522e-16
816,7.327582167691491e-16
817,7.325384058688683e-16
818,7.323190004780342e-16
819,7.320999995378606e-16
820,7.318814019924433e-16
821,7.316632067887516e-16
822,7.314454128766215e-16
823,7.312280192087466e-16
824,7.310110247406709e-16
825,7.307944284307814e-16
826,7.305782292402992e-16
827,7.303624261332731e-16
828,7.301470180765704e-16
829,7.29932004039871e-16
830,7.297173829956577e-16
831,7.295031539192098e-16
832,7.292893157885954e-16
833,7.290758675846635e-16
834,7.28862808291036e-16
835,7.286501368941006e-16
836,7.284378523830038e-16
837,7.282259537496419e-16
838,7.280144399886547e-16
839,7.278033100974175e-16
840,7.275925630760337e-16
841,7.273821979273274e-16
842,7.271722136568359e-16
843,7.269626092728018e-16
844,7.267533837861668e-16
845,7.265445362105633e-16
846,7.263360655623072e-16
847,7.261279708603907e-16
848,7.259202511264753e-16
849,7.257129053848837e-16
850,7.255059326625933e-16
851,7.252993319892285e-16
852,7.250931023970539e-16
853,7.248872429209663e-16
854,7.246817525984884e-16
855,7.244766304697607e-16
856,7.242718755775355e-16
857,7.240674869671685e-16
858,7.238634636866125e-16
859,7.236598047864105e-16
860,7.234565093196874e-16
861,7.232535763421444e-16
862,7.230510049120509e-16
863,7.22848794090238e-16
864,7.226469429400915e-16
865,7.224454505275447e-16
866,7.222443159210712e-16
867,7.220435381916788e-16
868,7.218431164129018e-16
869,7.216430496607943e-16
870,7.214433370139235e-16
871,7.212439775533623e-16
872,7.210449703626834e-16
873,7.208463145279517e-16
874,7.206480091377172e-16
875,7.204500532830093e-16
876,7.202524460573293e-16
877,7.200551865566435e-16
878,7.198582738793771e-16
879,7.196617071264068e-16
880,7.194654854010544e-16
881,7.192696078090803e-16
882,7.1907407345867655e-16
883,7.188788814604604e-16
